"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "902ffb25d75c81ee3b2a5dee3301fa02" "site/built/CODE_OF_CONDUCT.md" "2026-02-17"
"LICENSE.md" "16e8eaad880865bc4a41811b3e8fa945" "site/built/LICENSE.md" "2026-02-17"
"config.yaml" "4f39fae1e601e6369d6d2700af870c05" "site/built/config.yaml" "2026-02-17"
"index.md" "19190762682dcafae8edc4636ccfdb06" "site/built/index.md" "2026-02-17"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2026-02-17"
"renv.lock" "23d85500c2f95e0218815a6aaf303981" "site/built/renv.lock" "2026-02-17"
"episodes/introduccion-personas.Rmd" "b62a62e8f28c9ed37f70793eed43789b" "site/built/introduccion-personas.md" "2026-02-17"
"episodes/modelos-mentales.Rmd" "02af4c3f0ac37c9ec1c153b54e2c3eef" "site/built/modelos-mentales.md" "2026-02-17"
"episodes/carga-cognitiva.Rmd" "1cd701d27cf6e563618e3e2c9259f189" "site/built/carga-cognitiva.md" "2026-02-17"
"episodes/capacidad.Rmd" "e274f56f833acbd970fb08d73d8c02fe" "site/built/capacidad.md" "2026-02-17"
"episodes/evaluacion.Rmd" "654b4d49f2ebb38ec40f8549871107c4" "site/built/evaluacion.md" "2026-02-17"
"episodes/critica.Rmd" "26fbd196a573faccbe98c674a4b0b01e" "site/built/critica.md" "2026-02-17"
"episodes/motivacion.Rmd" "4293947a9c4e165624ef15d381e320e3" "site/built/motivacion.md" "2026-02-17"
"episodes/aprendizaje.Rmd" "9e78a275136f799444166109d2c1461c" "site/built/aprendizaje.md" "2026-02-17"
"episodes/preparacion.Rmd" "f2d7bbb6f0e25e37c9aebe4c7836516e" "site/built/preparacion.md" "2026-02-17"
"episodes/final.Rmd" "c876e078aa366efcec3f4ff33f0c43a8" "site/built/final.md" "2026-02-17"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2026-02-17"
"learners/reference.md" "d64fbeaf5295f7694a37ebfa5f87e8b8" "site/built/reference.md" "2026-02-17"
"profiles/learner-profiles.md" "7cc9ed9116e632bed0609c58ed687fbb" "site/built/learner-profiles.md" "2026-02-17"
"renv/profiles/lesson-requirements/renv.lock" "23d85500c2f95e0218815a6aaf303981" "site/built/renv.lock" "2026-02-17"
